Variable1,Variable2,Variable3,Variable4,Variable5,VariableTarget
218.35,755.40,84,0.10,16811.55,b2_REVISAR
218.35,922.05,133,-0.68,-137907.93,b2_REVISAR
218.23,711.87,33,0.83,129637.35,b2_OK
218.19,796.39,28,0.88,153302.66,b2_OK
218.18,966.98,9,0.99,207872.16,b2_OK
218.16,372.16,127,-0.61,-49483.98,b2_REVISAR
218.14,904.16,50,0.63,124840.92,b2_REVISAR
218.04,503.46,46,0.68,74994.79,b2_REVISAR
218.00,866.56,25,0.90,170933.83,b2_OK
217.95,722.95,23,0.91,144121.83,b2_OK
217.91,381.88,85,0.09,7115.29,b2_REVISAR
217.73,387.25,117,-0.46,-38689.40,b2_REVISAR
217.69,816.16,16,0.96,170242.10,b2_OK
217.65,372.10,4,1.00,80725.21,b2_OK
217.63,674.78,20,0.94,137359.27,b2_OK
217.62,726.36,10,0.98,155314.62,b2_OK
217.56,698.33,19,0.94,143441.06,b2_OK
217.54,666.21,74,0.27,39055.52,b2_REVISAR
217.51,737.21,30,0.86,137959.02,b2_OK
217.48,369.00,123,-0.54,-43640.30,b2_REVISAR
217.43,689.04,9,0.99,147633.21,b2_OK
217.42,544.03,26,0.90,105902.81,b2_OK
217.34,906.59,21,0.93,183644.97,b2_OK
217.28,787.28,43,0.73,124193.65,b2_REVISAR
217.27,768.48,73,0.29,47944.01,b2_REVISAR
217.25,246.85,35,0.81,43605.42,b2_REVISAR
217.18,450.87,88,0.03,2721.16,b2_REVISAR
217.11,856.84,76,0.24,44712.20,b2_REVISAR
217.00,969.37,27,0.89,186631.26,b2_OK
217.00,763.33,2,1.00,165422.08,b2_OK
216.93,258.34,37,0.80,44562.24,b2_REVISAR
216.90,247.21,41,0.75,39974.69,b2_REVISAR
216.81,991.65,7,0.99,213059.05,b2_OK
216.80,750.26,32,0.84,136942.55,b2_OK
216.73,583.24,3,1.00,126187.66,b2_OK
216.67,687.72,130,-0.64,-95902.19,b2_REVISAR
216.59,933.71,37,0.80,161050.98,b2_REVISAR
216.54,710.31,21,0.93,143466.68,b2_OK
216.44,732.50,132,-0.68,-107834.33,b2_REVISAR
216.44,392.48,128,-0.63,-53266.69,b2_REVISAR
216.33,774.40,3,1.00,167227.56,b2_OK
216.24,613.27,2,1.00,132517.19,b2_OK
216.22,570.96,10,0.98,121202.58,b2_OK
216.20,423.05,23,0.91,83662.16,b2_OK
216.18,746.47,2,1.00,161269.35,b2_OK
216.15,688.59,68,0.36,54301.63,b2_REVISAR
216.15,498.38,126,-0.60,-64430.99,b2_REVISAR
216.13,583.68,76,0.23,29481.64,b2_REVISAR
216.12,351.91,37,0.80,60683.62,b2_REVISAR
216.10,263.32,53,0.59,33688.93,b2_REVISAR
215.83,796.71,23,0.92,157613.01,b2_OK
215.77,674.94,76,0.23,33117.68,b2_REVISAR
215.69,370.29,127,-0.61,-48483.17,b2_REVISAR
215.54,934.52,114,-0.42,-84239.84,b2_REVISAR
139.87,428.12,93,-0.05,-3158.98,b1_REVISAR
139.76,398.95,31,0.85,47528.45,b1_OK
139.73,531.23,98,-0.16,-11542.37,b1_REVISAR
139.51,385.75,23,0.92,49491.80,b1_OK
139.50,324.37,27,0.89,40054.49,b1_OK
139.44,283.96,31,0.85,33649.49,b1_OK
138.96,781.57,132,-0.67,-73306.36,b1_REVISAR
138.82,291.17,30,0.86,34874.50,b1_OK
138.80,826.85,122,-0.54,-61641.71,b1_REVISAR
138.76,450.24,14,0.97,60575.91,b1_OK
138.63,374.23,105,-0.27,-13953.55,b1_REVISAR
138.62,589.60,107,-0.31,-24950.88,b1_REVISAR
138.54,785.61,80,0.16,17762.39,b1_REVISAR
138.51,318.96,11,0.98,43234.94,b1_OK
138.44,772.82,116,-0.44,-46909.19,b1_REVISAR
138.42,483.56,88,0.03,1783.73,b1_REVISAR
138.42,600.23,64,0.43,35622.29,b1_REVISAR
138.36,423.23,5,0.99,58245.39,b1_OK
138.25,390.11,13,0.97,52542.32,b1_OK
138.23,408.14,21,0.93,52448.94,b1_OK
138.22,817.27,86,0.07,7681.57,b1_REVISAR
138.20,248.87,33,0.83,28656.16,b1_OK
138.11,359.20,27,0.89,43987.64,b1_OK
138.08,606.49,80,0.16,13329.33,b1_REVISAR
138.04,371.76,12,0.98,50065.94,b1_OK
138.01,717.17,122,-0.54,-53113.91,b1_REVISAR
137.94,419.45,9,0.98,56980.37,b1_OK
137.92,348.41,16,0.96,46105.91,b1_OK
137.84,261.80,23,0.92,33083.49,b1_OK
137.78,315.39,24,0.91,39680.63,b1_OK
137.73,406.46,17,0.95,53333.20,b1_OK
137.73,770.36,107,-0.29,-31239.05,b1_REVISAR
137.72,987.52,48,0.67,90669.10,b1_REVISAR
137.64,870.44,79,0.19,22928.39,b1_REVISAR
137.62,832.91,91,-0.03,-2953.00,b1_REVISAR
137.54,319.78,8,0.99,43455.90,b1_OK
137.49,390.30,17,0.96,51290.01,b1_OK
137.48,624.64,126,-0.60,-51598.88,b1_REVISAR
137.39,251.00,73,0.28,9780.94,b1_REVISAR
137.38,405.31,31,0.86,47641.86,b1_OK
137.36,448.73,15,0.96,59424.97,b1_OK
137.32,431.27,21,0.93,55001.30,b1_OK
137.30,368.49,23,0.92,46402.44,b1_OK
137.28,298.05,4,1.00,40805.90,b1_OK
137.13,913.12,54,0.58,72151.23,b1_REVISAR
137.10,524.49,104,-0.25,-17752.01,b1_REVISAR
137.05,401.98,5,1.00,54835.14,b1_OK
137.03,273.86,11,0.98,36767.53,b1_OK
136.98,289.43,15,0.96,38196.14,b1_OK
136.98,449.04,111,-0.37,-22873.69,b1_REVISAR
136.90,378.92,48,0.67,34671.50,b1_REVISAR
136.84,510.54,60,0.49,34525.48,b1_REVISAR
136.79,673.75,73,0.29,26365.65,b1_REVISAR
136.62,747.45,109,-0.34,-34482.78,b1_REVISAR
136.57,387.89,21,0.93,49166.01,b1_OK
136.57,243.81,8,0.99,32894.84,b1_OK
136.56,377.51,26,0.89,46039.88,b1_OK
136.17,792.24,112,-0.39,-41620.60,b1_REVISAR
136.09,635.58,87,0.04,3362.78,b1_REVISAR
136.07,294.33,4,1.00,39940.63,b1_OK
136.00,293.30,45,0.71,28208.40,b1_REVISAR
135.99,403.39,30,0.86,47392.40,b1_OK
135.96,255.08,25,0.90,31347.97,b1_OK
135.87,289.22,17,0.95,37420.02,b1_OK
135.71,406.41,58,0.52,28579.80,b1_REVISAR
135.65,361.77,23,0.91,44872.48,b1_OK
135.47,334.59,31,0.85,38507.50,b1_OK
135.37,855.89,48,0.66,76952.30,b1_REVISAR
135.30,438.19,23,0.92,54295.76,b1_OK
135.17,376.68,9,0.99,50169.69,b1_OK
135.08,600.63,87,0.04,3558.64,b1_REVISAR
134.92,453.38,60,0.50,30374.20,b1_REVISAR
134.79,421.04,17,0.95,53976.74,b1_OK
134.62,361.99,21,0.93,45478.85,b1_OK
134.55,396.29,20,0.94,50060.61,b1_OK
134.55,288.24,19,0.94,36604.35,b1_OK
134.53,458.88,131,-0.66,-40851.87,b1_REVISAR
134.27,631.72,63,0.45,38136.83,b1_REVISAR
134.26,304.92,31,0.85,34946.41,b1_OK
134.23,866.76,93,-0.06,-6923.40,b1_REVISAR
134.21,836.96,100,-0.18,-20780.40,b1_REVISAR
134.17,334.02,25,0.90,40292.96,b1_OK
134.15,976.05,128,-0.61,-80512.11,b1_REVISAR
134.12,304.29,18,0.95,38603.31,b1_OK
134.08,397.49,17,0.95,50845.12,b1_OK
133.92,270.47,9,0.99,35720.08,b1_OK
133.77,334.97,15,0.96,43196.41,b1_OK
133.70,883.60,102,-0.21,-24722.22,b1_REVISAR
133.62,890.49,48,0.66,78687.98,b1_REVISAR
133.58,666.04,100,-0.18,-16340.42,b1_REVISAR
133.54,451.72,24,0.91,54925.48,b1_OK
133.49,306.19,103,-0.23,-9561.96,b1_REVISAR
133.35,808.59,111,-0.37,-40191.07,b1_REVISAR
133.33,387.57,23,0.91,47220.89,b1_OK
133.25,460.21,41,0.75,46048.98,b1_REVISAR
133.22,447.42,19,0.94,56108.80,b1_OK
133.09,586.39,74,0.28,21471.20,b1_REVISAR
132.85,679.24,106,-0.29,-25912.19,b1_REVISAR
132.82,272.89,5,1.00,36100.62,b1_OK
132.79,268.68,31,0.85,30437.92,b1_OK
132.78,360.43,127,-0.61,-29233.31,b1_REVISAR
132.73,304.96,13,0.97,39287.13,b1_OK
132.71,350.00,14,0.97,45029.67,b1_OK
132.71,273.94,31,0.85,31058.50,b1_OK
132.68,370.78,5,1.00,48967.06,b1_OK
132.63,437.44,123,-0.55,-31820.45,b1_REVISAR
132.52,505.06,37,0.79,52977.37,b1_REVISAR
132.51,338.49,23,0.91,41021.44,b1_OK
132.50,323.17,96,-0.11,-4918.09,b1_REVISAR
132.48,950.58,45,0.70,88736.93,b1_REVISAR
132.47,422.66,12,0.98,54732.55,b1_OK
132.45,418.65,2,1.00,55390.15,b1_OK
132.22,981.59,116,-0.45,-58306.76,b1_REVISAR
132.21,815.39,71,0.33,35103.15,b1_REVISAR
132.19,367.45,25,0.90,43750.05,b1_OK
132.12,336.16,10,0.98,43685.17,b1_OK
132.12,458.97,118,-0.48,-28929.61,b1_REVISAR
132.10,801.66,51,0.62,65276.63,b1_REVISAR
132.04,369.89,121,-0.52,-25181.11,b1_REVISAR
